sentence_id,token,tag
0,The,O
0,report,O
0,",",O
0,as,O
0,mentioned,O
0,by,O
0,Misgana,B-PER
0,(,O
0,our,O
0,new,O
0,data,O
0,analyst,O
0,),O
0,",",O
0,needs,O
0,a,O
0,revision,O
0,.,O
1,My,O
1,name,O
1,is,O
1,Mpho,B-PER
1,.,O
2,The,O
2,person,O
2,you,O
2,spoke,O
2,to,O
2,earlier,O
2,",",O
2,Emmanuel,B-PER
2,",",O
2,will,O
2,send,O
2,the,O
2,report,O
2,.,O
3,Hodan,B-PER
3,",",O
3,the,O
3,new,O
3,project,O
3,manager,O
3,",",O
3,presented,O
3,the,O
3,budget,O
3,.,O
4,It,O
4,was,O
4,José,B-PER
4,who,O
4,finalized,O
4,the,O
4,agreement,O
4,.,O
5,Nobody,O
5,expected,O
5,Abdullahi,B-PER
5,to,O
5,handle,O
5,the,O
5,crisis,O
5,so,O
5,well,O
5,.,O
6,Emmanuel,B-PER
6,",",O
6,the,O
6,regional,O
6,director,O
6,",",O
6,approved,O
6,the,O
6,budget,O
6,.,O
7,During,O
7,yesterday,O
7,',O
7,s,O
7,meeting,O
7,",",O
7,Bigirimana,B-PER
7,brought,O
7,up,O
7,an,O
7,interesting,O
7,point,O
7,.,O
8,Mostafa,B-PER
8,and,O
8,his,O
8,colleague,O
8,Amr,B-PER
8,handled,O
8,the,O
8,presentation,O
8,together,O
8,.,O
9,The,O
9,consultant,O
9,who,O
9,was,O
9,hired,O
9,bySalamata,O
9,recommended,O
9,a,O
9,new,O
9,tool,O
9,.,O
10,During,O
10,yesterday,O
10,',O
10,s,O
10,meeting,O
10,",",O
10,Paulus,B-PER
10,brought,O
10,up,O
10,an,O
10,interesting,O
10,point,O
10,.,O
11,This,O
11,is,O
11,Goreth,B-PER
11,",",O
11,our,O
11,new,O
11,team,O
11,member,O
11,.,O
12,At,O
12,the,O
12,annual,O
12,summit,O
12,in,O
12,Kuala,O
12,Lumpur,O
12,",",O
12,Saredo,B-PER
12,gave,O
12,a,O
12,keynote,O
12,speech,O
12,.,O
13,Everyone,O
13,was,O
13,waiting,O
13,for,O
13,محمد,B-PER
13,to,O
13,arrive,O
13,.,O
14,Isn,O
14,',O
14,t,O
14,Michel,B-PER
14,presenting,O
14,at,O
14,the,O
14,conference,O
14,?,O
15,Have,O
15,you,O
15,met,O
15,Bezawit,B-PER
15,from,O
15,the,O
15,accounting,O
15,department,O
15,?,O
16,The,O
16,woman,O
16,seen,O
16,talking,O
16,to,O
16,Khadija,B-PER
16,was,O
16,the,O
16,CEO,O
16,.,O
17,My,O
17,name,O
17,is,O
17,Loide,B-PER
17,.,O
18,Osvaldo,B-PER
18,introduced,O
18,Albertina,B-PER
18,as,O
18,the,O
18,lead,O
18,consultant,O
18,on,O
18,the,O
18,project,O
18,.,O
19,Do,O
19,you,O
19,remember,O
19,when,O
19,Bigirimana,B-PER
19,joined,O
19,the,O
19,company,O
19,?,O
20,The,O
20,woman,O
20,seen,O
20,talking,O
20,to,O
20,Fatimata,B-PER
20,was,O
20,the,O
20,CEO,O
20,.,O
21,Tebogo,B-PER
21,introduced,O
21,Sipho,B-PER
21,as,O
21,the,O
21,lead,O
21,consultant,O
21,on,O
21,the,O
21,project,O
21,.,O
22,Both,O
22,Joy,B-PER
22,and,O
22,Grace,B-PER
22,have,O
22,extensive,O
22,experience,O
22,in,O
22,logistics,O
22,.,O
23,After,O
23,the,O
23,interview,O
23,",",O
23,we,O
23,offered,O
23,Kabelo,B-PER
23,the,O
23,position,O
23,.,O
24,Nobody,O
24,expected,O
24,Inoussa,B-PER
24,to,O
24,handle,O
24,the,O
24,crisis,O
24,so,O
24,well,O
24,.,O
25,The,O
25,consultant,O
25,who,O
25,was,O
25,hired,O
25,byIrakoze,O
25,recommended,O
25,a,O
25,new,O
25,tool,O
25,.,O
26,What,O
26,did,O
26,Amina,B-PER
26,say,O
26,about,O
26,the,O
26,proposal,O
26,yesterday,O
26,?,O
27,After,O
27,the,O
27,interview,O
27,",",O
27,we,O
27,offered,O
27,Lorato,B-PER
27,the,O
27,position,O
27,.,O
28,Have,O
28,you,O
28,met,O
28,Patrícia,B-PER
28,from,O
28,the,O
28,accounting,O
28,department,O
28,?,O
29,Have,O
29,you,O
29,met,O
29,محمد,B-PER
29,from,O
29,the,O
29,accounting,O
29,department,O
29,?,O
30,Mohamed,B-PER
30,and,O
30,his,O
30,colleague,O
30,Ahmed,B-PER
30,handled,O
30,the,O
30,presentation,O
30,together,O
30,.,O
31,Mercy,B-PER
31,said,O
31,that,O
31,Favour,B-PER
31,might,O
31,be,O
31,late,O
31,due,O
31,to,O
31,traffic,O
31,.,O
32,The,O
32,person,O
32,you,O
32,spoke,O
32,to,O
32,earlier,O
32,",",O
32,Mohamed,B-PER
32,",",O
32,will,O
32,send,O
32,the,O
32,report,O
32,.,O
33,Everyone,O
33,was,O
33,waiting,O
33,for,O
33,ام,B-PER
33,to,O
33,arrive,O
33,.,O
34,After,O
34,the,O
34,interview,O
34,",",O
34,we,O
34,offered,O
34,Joy,B-PER
34,the,O
34,position,O
34,.,O
35,It,O
35,was,O
35,Mahmoud,B-PER
35,who,O
35,finalized,O
35,the,O
35,agreement,O
35,.,O
36,Have,O
36,you,O
36,met,O
36,ابراهيم,B-PER
36,from,O
36,the,O
36,accounting,O
36,department,O
36,?,O
37,Nobody,O
37,expected,O
37,Lorato,B-PER
37,to,O
37,handle,O
37,the,O
37,crisis,O
37,so,O
37,well,O
37,.,O
38,The,O
38,person,O
38,you,O
38,spoke,O
38,to,O
38,earlier,O
38,",",O
38,Med,B-PER
38,",",O
38,will,O
38,send,O
38,the,O
38,report,O
38,.,O
39,Both,O
39,ميمي,B-PER
39,and,O
39,حنين,B-PER
39,have,O
39,extensive,O
39,experience,O
39,in,O
39,logistics,O
39,.,O
40,It,O
40,was,O
40,Zandile,B-PER
40,who,O
40,finalized,O
40,the,O
40,agreement,O
40,.,O
41,Can,O
41,you,O
41,schedule,O
41,a,O
41,meeting,O
41,with,O
41,Inês,B-PER
41,next,O
41,week,O
41,?,O
42,At,O
42,the,O
42,annual,O
42,summit,O
42,in,O
42,Kuala,O
42,Lumpur,O
42,",",O
42,Ayoub,B-PER
42,gave,O
42,a,O
42,keynote,O
42,speech,O
42,.,O
43,After,O
43,the,O
43,interview,O
43,",",O
43,we,O
43,offered,O
43,Joy,B-PER
43,the,O
43,position,O
43,.,O
44,At,O
44,the,O
44,annual,O
44,summit,O
44,in,O
44,Kuala,O
44,Lumpur,O
44,",",O
44,Hamza,B-PER
44,gave,O
44,a,O
44,keynote,O
44,speech,O
44,.,O
45,What,O
45,did,O
45,Francis,B-PER
45,say,O
45,about,O
45,the,O
45,proposal,O
45,yesterday,O
45,?,O
46,Although,O
46,Kedir,B-PER
46,was,O
46,nervous,O
46,",",O
46,she,O
46,performed,O
46,well,O
46,.,O
47,My,O
47,name,O
47,is,O
47,Karim,B-PER
47,.,O
48,Irakoze,B-PER
48,",",O
48,the,O
48,new,O
48,project,O
48,manager,O
48,",",O
48,presented,O
48,the,O
48,budget,O
48,.,O
49,After,O
49,the,O
49,interview,O
49,",",O
49,we,O
49,offered,O
49,Hamza,B-PER
49,the,O
49,position,O
49,.,O
50,Nobody,O
50,expected,O
50,John,B-PER
50,to,O
50,handle,O
50,the,O
50,crisis,O
50,so,O
50,well,O
50,.,O
51,Do,O
51,you,O
51,remember,O
51,when,O
51,Edson,B-PER
51,joined,O
51,the,O
51,company,O
51,?,O
52,Both,O
52,Irakoze,B-PER
52,and,O
52,Esperance,B-PER
52,have,O
52,extensive,O
52,experience,O
52,in,O
52,logistics,O
52,.,O
53,I,O
53,met,O
53,Biruk,B-PER
53,and,O
53,Wesen,B-PER
53,at,O
53,the,O
53,workshop,O
53,in,O
53,Jakarta,O
53,.,O
54,Nshimirimana,B-PER
54,said,O
54,that,O
54,Emelyne,B-PER
54,might,O
54,be,O
54,late,O
54,due,O
54,to,O
54,traffic,O
54,.,O
55,The,O
55,final,O
55,report,O
55,was,O
55,prepared,O
55,by,O
55,Samir,B-PER
55,.,O
56,My,O
56,name,O
56,is,O
56,John,B-PER
56,.,O
57,ابو,B-PER
57,",",O
57,the,O
57,new,O
57,project,O
57,manager,O
57,",",O
57,presented,O
57,the,O
57,budget,O
57,.,O
58,The,O
58,woman,O
58,seen,O
58,talking,O
58,to,O
58,وردة,B-PER
58,was,O
58,the,O
58,CEO,O
58,.,O
59,What,O
59,did,O
59,Bizuayehu,B-PER
59,say,O
59,about,O
59,the,O
59,proposal,O
59,yesterday,O
59,?,O
60,Mohamed,B-PER
60,",",O
60,the,O
60,new,O
60,project,O
60,manager,O
60,",",O
60,presented,O
60,the,O
60,budget,O
60,.,O
61,Nobody,O
61,expected,O
61,Bigirimana,B-PER
61,to,O
61,handle,O
61,the,O
61,crisis,O
61,so,O
61,well,O
61,.,O
62,The,O
62,report,O
62,",",O
62,as,O
62,mentioned,O
62,by,O
62,Biruk,B-PER
62,(,O
62,our,O
62,new,O
62,data,O
62,analyst,O
62,),O
62,",",O
62,needs,O
62,a,O
62,revision,O
62,.,O
63,This,O
63,is,O
63,Laure,B-PER
63,",",O
63,our,O
63,new,O
63,team,O
63,member,O
63,.,O
64,Everyone,O
64,was,O
64,waiting,O
64,for,O
64,Lorato,B-PER
64,to,O
64,arrive,O
64,.,O
65,The,O
65,consultant,O
65,who,O
65,was,O
65,hired,O
65,byAlassane,O
65,recommended,O
65,a,O
65,new,O
65,tool,O
65,.,O
66,Matheus,B-PER
66,introduced,O
66,Erastus,B-PER
66,as,O
66,the,O
66,lead,O
66,consultant,O
66,on,O
66,the,O
66,project,O
66,.,O
67,My,O
67,name,O
67,is,O
67,Amel,B-PER
67,.,O
68,It,O
68,was,O
68,ام,B-PER
68,who,O
68,finalized,O
68,the,O
68,agreement,O
68,.,O
69,Franck,B-PER
69,and,O
69,his,O
69,colleague,O
69,Mireille,B-PER
69,handled,O
69,the,O
69,presentation,O
69,together,O
69,.,O
70,During,O
70,yesterday,O
70,',O
70,s,O
70,meeting,O
70,",",O
70,Issaka,B-PER
70,brought,O
70,up,O
70,an,O
70,interesting,O
70,point,O
70,.,O
71,Can,O
71,you,O
71,schedule,O
71,a,O
71,meeting,O
71,with,O
71,Mostafa,B-PER
71,next,O
71,week,O
71,?,O
72,Everyone,O
72,was,O
72,waiting,O
72,for,O
72,Kagiso,B-PER
72,to,O
72,arrive,O
72,.,O
73,Everyone,O
73,was,O
73,waiting,O
73,for,O
73,اميرة,B-PER
73,to,O
73,arrive,O
73,.,O
74,I,O
74,met,O
74,Sunday,B-PER
74,and,O
74,John,B-PER
74,at,O
74,the,O
74,workshop,O
74,in,O
74,Jakarta,O
74,.,O
75,At,O
75,the,O
75,annual,O
75,summit,O
75,in,O
75,Kuala,O
75,Lumpur,O
75,",",O
75,ابو,B-PER
75,gave,O
75,a,O
75,keynote,O
75,speech,O
75,.,O
76,Although,O
76,Kefilwe,B-PER
76,was,O
76,nervous,O
76,",",O
76,she,O
76,performed,O
76,well,O
76,.,O
77,The,O
77,person,O
77,you,O
77,spoke,O
77,to,O
77,earlier,O
77,",",O
77,محمد,B-PER
77,",",O
77,will,O
77,send,O
77,the,O
77,report,O
77,.,O
78,I,O
78,met,O
78,Petrus,B-PER
78,and,O
78,Hilma,B-PER
78,at,O
78,the,O
78,workshop,O
78,in,O
78,Jakarta,O
78,.,O
79,It,O
79,was,O
79,Sara,B-PER
79,who,O
79,finalized,O
79,the,O
79,agreement,O
79,.,O
80,I,O
80,met,O
80,Joana,B-PER
80,and,O
80,Diogo,B-PER
80,at,O
80,the,O
80,workshop,O
80,in,O
80,Jakarta,O
80,.,O
81,What,O
81,did,O
81,Mpho,B-PER
81,say,O
81,about,O
81,the,O
81,proposal,O
81,yesterday,O
81,?,O
82,The,O
82,consultant,O
82,who,O
82,was,O
82,hired,O
82,byKwizera,O
82,recommended,O
82,a,O
82,new,O
82,tool,O
82,.,O
83,Both,O
83,ميمي,B-PER
83,and,O
83,فاطمه,B-PER
83,have,O
83,extensive,O
83,experience,O
83,in,O
83,logistics,O
83,.,O
84,After,O
84,the,O
84,interview,O
84,",",O
84,we,O
84,offered,O
84,João,B-PER
84,the,O
84,position,O
84,.,O
85,Isn,O
85,',O
85,t,O
85,Nahimana,B-PER
85,presenting,O
85,at,O
85,the,O
85,conference,O
85,?,O
86,Everyone,O
86,was,O
86,waiting,O
86,for,O
86,Malak,B-PER
86,to,O
86,arrive,O
86,.,O
87,I,O
87,met,O
87,John,B-PER
87,and,O
87,Bongani,B-PER
87,at,O
87,the,O
87,workshop,O
87,in,O
87,Jakarta,O
87,.,O
88,João,B-PER
88,",",O
88,the,O
88,regional,O
88,director,O
88,",",O
88,approved,O
88,the,O
88,budget,O
88,.,O
89,Nobody,O
89,expected,O
89,Asres,B-PER
89,to,O
89,handle,O
89,the,O
89,crisis,O
89,so,O
89,well,O
89,.,O
90,The,O
90,final,O
90,report,O
90,was,O
90,prepared,O
90,by,O
90,Akimana,B-PER
90,.,O
91,Although,O
91,Amel,B-PER
91,was,O
91,nervous,O
91,",",O
91,she,O
91,performed,O
91,well,O
91,.,O
92,Have,O
92,you,O
92,met,O
92,Nuno,B-PER
92,from,O
92,the,O
92,accounting,O
92,department,O
92,?,O
93,What,O
93,did,O
93,Favour,B-PER
93,say,O
93,about,O
93,the,O
93,proposal,O
93,yesterday,O
93,?,O
94,Meme,B-PER
94,said,O
94,that,O
94,Om,B-PER
94,might,O
94,be,O
94,late,O
94,due,O
94,to,O
94,traffic,O
94,.,O
95,After,O
95,the,O
95,interview,O
95,",",O
95,we,O
95,offered,O
95,Grace,B-PER
95,the,O
95,position,O
95,.,O
96,After,O
96,the,O
96,interview,O
96,",",O
96,we,O
96,offered,O
96,Prince,B-PER
96,the,O
96,position,O
96,.,O
97,Margarida,B-PER
97,and,O
97,his,O
97,colleague,O
97,Joana,B-PER
97,handled,O
97,the,O
97,presentation,O
97,together,O
97,.,O
98,At,O
98,the,O
98,annual,O
98,summit,O
98,in,O
98,Kuala,O
98,Lumpur,O
98,",",O
98,Joana,B-PER
98,gave,O
98,a,O
98,keynote,O
98,speech,O
98,.,O
99,I,O
99,met,O
99,ملاك,B-PER
99,and,O
99,Om,B-PER
99,at,O
99,the,O
99,workshop,O
99,in,O
99,Jakarta,O
99,.,O
100,Mona,B-PER
100,said,O
100,that,O
100,Omar,B-PER
100,might,O
100,be,O
100,late,O
100,due,O
100,to,O
100,traffic,O
100,.,O
101,Isn,O
101,',O
101,t,O
101,Deka,B-PER
101,presenting,O
101,at,O
101,the,O
101,conference,O
101,?,O
102,The,O
102,consultant,O
102,who,O
102,was,O
102,hired,O
102,byGoreth,O
102,recommended,O
102,a,O
102,new,O
102,tool,O
102,.,O
103,After,O
103,the,O
103,interview,O
103,",",O
103,we,O
103,offered,O
103,Ashenafi,B-PER
103,the,O
103,position,O
103,.,O
104,Have,O
104,you,O
104,met,O
104,Ahmed,B-PER
104,from,O
104,the,O
104,accounting,O
104,department,O
104,?,O
105,This,O
105,is,O
105,Mahamoud,B-PER
105,",",O
105,our,O
105,new,O
105,team,O
105,member,O
105,.,O
106,The,O
106,person,O
106,you,O
106,spoke,O
106,to,O
106,earlier,O
106,",",O
106,Salma,B-PER
106,",",O
106,will,O
106,send,O
106,the,O
106,report,O
106,.,O
107,Both,O
107,João,B-PER
107,and,O
107,Patrícia,B-PER
107,have,O
107,extensive,O
107,experience,O
107,in,O
107,logistics,O
107,.,O
108,Everyone,O
108,was,O
108,waiting,O
108,for,O
108,አላህ,B-PER
108,to,O
108,arrive,O
108,.,O
109,While,O
109,the,O
109,proposal,O
109,was,O
109,being,O
109,finalized,O
109,by,O
109,the,O
109,marketing,O
109,team,O
109,",",O
109,ام,B-PER
109,",",O
109,who,O
109,had,O
109,just,O
109,returned,O
109,from,O
109,Singapore,O
109,",",O
109,raised,O
109,an,O
109,objection,O
109,.,O
110,Lorato,B-PER
110,introduced,O
110,Kabelo,B-PER
110,as,O
110,the,O
110,lead,O
110,consultant,O
110,on,O
110,the,O
110,project,O
110,.,O
111,After,O
111,the,O
111,interview,O
111,",",O
111,we,O
111,offered,O
111,Mahmoud,B-PER
111,the,O
111,position,O
111,.,O
112,This,O
112,is,O
112,محمد,B-PER
112,",",O
112,our,O
112,new,O
112,team,O
112,member,O
112,.,O
113,While,O
113,the,O
113,proposal,O
113,was,O
113,being,O
113,finalized,O
113,by,O
113,the,O
113,marketing,O
113,team,O
113,",",O
113,Sara,B-PER
113,",",O
113,who,O
113,had,O
113,just,O
113,returned,O
113,from,O
113,Singapore,O
113,",",O
113,raised,O
113,an,O
113,objection,O
113,.,O
114,Stephen,B-PER
114,introduced,O
114,Joseph,B-PER
114,as,O
114,the,O
114,lead,O
114,consultant,O
114,on,O
114,the,O
114,project,O
114,.,O
115,Zalissa,B-PER
115,and,O
115,his,O
115,colleague,O
115,Fatimata,B-PER
115,handled,O
115,the,O
115,presentation,O
115,together,O
115,.,O
116,Do,O
116,you,O
116,remember,O
116,when,O
116,Gaone,B-PER
116,joined,O
116,the,O
116,company,O
116,?,O
117,Abubakar,B-PER
117,",",O
117,the,O
117,new,O
117,project,O
117,manager,O
117,",",O
117,presented,O
117,the,O
117,budget,O
117,.,O
118,The,O
118,report,O
118,",",O
118,as,O
118,mentioned,O
118,by,O
118,Matheus,B-PER
118,(,O
118,our,O
118,new,O
118,data,O
118,analyst,O
118,),O
118,",",O
118,needs,O
118,a,O
118,revision,O
118,.,O
119,Do,O
119,you,O
119,remember,O
119,when,O
119,Fatima,B-PER
119,joined,O
119,the,O
119,company,O
119,?,O
120,The,O
120,final,O
120,report,O
120,was,O
120,prepared,O
120,by,O
120,Aymen,B-PER
120,.,O
121,Can,O
121,you,O
121,schedule,O
121,a,O
121,meeting,O
121,with,O
121,Imane,B-PER
121,next,O
121,week,O
121,?,O
122,The,O
122,consultant,O
122,who,O
122,was,O
122,hired,O
122,byعبدالله,O
122,recommended,O
122,a,O
122,new,O
122,tool,O
122,.,O
123,Can,O
123,you,O
123,schedule,O
123,a,O
123,meeting,O
123,with,O
123,Muhammad,B-PER
123,next,O
123,week,O
123,?,O
124,At,O
124,the,O
124,annual,O
124,summit,O
124,in,O
124,Kuala,O
124,Lumpur,O
124,",",O
124,Walid,B-PER
124,gave,O
124,a,O
124,keynote,O
124,speech,O
124,.,O
125,The,O
125,consultant,O
125,who,O
125,was,O
125,hired,O
125,byPrince,O
125,recommended,O
125,a,O
125,new,O
125,tool,O
125,.,O
126,Have,O
126,you,O
126,met,O
126,ميمي,B-PER
126,from,O
126,the,O
126,accounting,O
126,department,O
126,?,O
127,Both,O
127,Samuel,B-PER
127,and,O
127,Nana,B-PER
127,have,O
127,extensive,O
127,experience,O
127,in,O
127,logistics,O
127,.,O
128,At,O
128,the,O
128,annual,O
128,summit,O
128,in,O
128,Kuala,O
128,Lumpur,O
128,",",O
128,Hassan,B-PER
128,gave,O
128,a,O
128,keynote,O
128,speech,O
128,.,O
129,Nour,B-PER
129,introduced,O
129,Amal,B-PER
129,as,O
129,the,O
129,lead,O
129,consultant,O
129,on,O
129,the,O
129,project,O
129,.,O
130,Have,O
130,you,O
130,met,O
130,Stephen,B-PER
130,from,O
130,the,O
130,accounting,O
130,department,O
130,?,O
131,After,O
131,the,O
131,interview,O
131,",",O
131,we,O
131,offered,O
131,Sipho,B-PER
131,the,O
131,position,O
131,.,O
132,I,O
132,met,O
132,Edson,B-PER
132,and,O
132,Paulo,B-PER
132,at,O
132,the,O
132,workshop,O
132,in,O
132,Jakarta,O
132,.,O
133,The,O
133,final,O
133,report,O
133,was,O
133,prepared,O
133,by,O
133,ميمي,B-PER
133,.,O
134,Prince,B-PER
134,",",O
134,the,O
134,new,O
134,project,O
134,manager,O
134,",",O
134,presented,O
134,the,O
134,budget,O
134,.,O
135,Everyone,O
135,was,O
135,waiting,O
135,for,O
135,Imen,B-PER
135,to,O
135,arrive,O
135,.,O
136,Do,O
136,you,O
136,remember,O
136,when,O
136,انا,B-PER
136,joined,O
136,the,O
136,company,O
136,?,O
137,After,O
137,the,O
137,interview,O
137,",",O
137,we,O
137,offered,O
137,Asmaa,B-PER
137,the,O
137,position,O
137,.,O
138,Do,O
138,you,O
138,remember,O
138,when,O
138,Albertina,B-PER
138,joined,O
138,the,O
138,company,O
138,?,O
139,Malak,B-PER
139,",",O
139,the,O
139,regional,O
139,director,O
139,",",O
139,approved,O
139,the,O
139,budget,O
139,.,O
140,This,O
140,is,O
140,Francis,B-PER
140,",",O
140,our,O
140,new,O
140,team,O
140,member,O
140,.,O
141,After,O
141,the,O
141,interview,O
141,",",O
141,we,O
141,offered,O
141,Esperance,B-PER
141,the,O
141,position,O
141,.,O
142,Isn,O
142,',O
142,t,O
142,Joseph,B-PER
142,presenting,O
142,at,O
142,the,O
142,conference,O
142,?,O
143,The,O
143,final,O
143,report,O
143,was,O
143,prepared,O
143,by,O
143,Habtamu,B-PER
143,.,O
144,My,O
144,name,O
144,is,O
144,Oumarou,B-PER
144,.,O
145,After,O
145,the,O
145,interview,O
145,",",O
145,we,O
145,offered,O
145,Ifrah,B-PER
145,the,O
145,position,O
145,.,O
146,What,O
146,did,O
146,Mary,B-PER
146,say,O
146,about,O
146,the,O
146,proposal,O
146,yesterday,O
146,?,O
147,Everyone,O
147,was,O
147,waiting,O
147,for,O
147,Bigirimana,B-PER
147,to,O
147,arrive,O
147,.,O
148,Can,O
148,you,O
148,schedule,O
148,a,O
148,meeting,O
148,with,O
148,Ahmed,B-PER
148,next,O
148,week,O
148,?,O
149,Have,O
149,you,O
149,met,O
149,Niyonkuru,B-PER
149,from,O
149,the,O
149,accounting,O
149,department,O
149,?,O
150,Nobody,O
150,expected,O
150,Mireille,B-PER
150,to,O
150,handle,O
150,the,O
150,crisis,O
150,so,O
150,well,O
150,.,O
151,Both,O
151,João,B-PER
151,and,O
151,Rui,B-PER
151,have,O
151,extensive,O
151,experience,O
151,in,O
151,logistics,O
151,.,O
152,Nobody,O
152,expected,O
152,Albertina,B-PER
152,to,O
152,handle,O
152,the,O
152,crisis,O
152,so,O
152,well,O
152,.,O
153,Everyone,O
153,was,O
153,waiting,O
153,for,O
153,ابو,B-PER
153,to,O
153,arrive,O
153,.,O
154,Both,O
154,Blessing,B-PER
154,and,O
154,Prince,B-PER
154,have,O
154,extensive,O
154,experience,O
154,in,O
154,logistics,O
154,.,O
155,I,O
155,met,O
155,Nduwimana,B-PER
155,and,O
155,Belyse,B-PER
155,at,O
155,the,O
155,workshop,O
155,in,O
155,Jakarta,O
155,.,O
156,The,O
156,consultant,O
156,who,O
156,was,O
156,hired,O
156,byAbdullahi,O
156,recommended,O
156,a,O
156,new,O
156,tool,O
156,.,O
157,Nobody,O
